Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,1,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","11,004",HR,DO,"5,324",,$1.25 ,,0.60 ,,$291.95 ,,140.4 ,,$2.08 ,,$0.50 ,,,"$3,351,083,122 ",,"$5,558,943,117 ",,"2,673,282,334 ",,"19,040,477 ",,"11,009,026,066 ",,"347,091,534 ",,No,,,,Hide questionable data tags,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","11,004",MB,DO,"3,286",,$1.16 ,,0.31 ,,$226.46 ,,60.6 ,,$3.74 ,,$1.79 ,,,"$860,046,215 ",,"$2,779,372,331 ",,"743,752,458 ",,"12,272,959 ",,"1,553,770,171 ",,"86,863,364 ",,No,,,,Show questionable data tags,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","11,004",DR,PT,"1,794",,$2.04 ,,0.03 ,,$95.98 ,,1.3 ,,$73.94 ,,$8.30 ,,,"$12,854,659 ",,"$467,083,460 ",,"6,316,903 ",,"4,866,273 ",,"56,308,809 ",,"48,814,480 ",,No,,2,,1,,2
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","11,004",CB,DO,455,,$6.04 ,,0.31 ,,$422.71 ,,21.7 ,,$19.51 ,,$1.56 ,,,"$76,341,181 ",,"$246,661,551 ",,"12,641,225 ",,"583,524 ",,"158,465,369 ",,"9,214,967 ",,No,,,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","11,004",RB,DO,145,,$1.04 ,,0.31 ,,$211.18 ,,62.7 ,,$3.37 ,,$1.77 ,,,"$29,956,666 ",,"$96,791,239 ",,"28,750,626 ",,"458,335 ",,"54,624,590 ",,"2,988,560 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,056",MB,DO,"1,857",,$2.52 ,,0.42 ,,$176.13 ,,29.2 ,,$6.04 ,,$0.75 ,,,"$374,258,188 ",,"$896,999,917 ",,"148,523,945 ",,"5,092,968 ",,"1,198,810,970 ",,"72,451,012 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,056",CR,DO,"1,267",,$6.41 ,,0.57 ,,$551.38 ,,49.0 ,,$11.25 ,,$0.49 ,,,"$582,194,827 ",,"$1,022,642,280 ",,"90,872,267 ",,"1,854,688 ",,"2,090,913,150 ",,"61,393,168 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,056",DR,PT,474,,$1.85 ,,0.03 ,,$106.90 ,,1.7 ,,$61.09 ,,$10.02 ,,,"$2,876,117 ",,"$94,726,826 ",,"1,550,589 ",,"886,102 ",,"9,454,903 ",,"14,882,395 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,056",VP,PT,204,,$2.84 ,,0.18 ,,$114.20 ,,7.2 ,,$15.82 ,,$0.45 ,,,"$2,192,372 ",,"$12,207,787 ",,"771,732 ",,"106,902 ",,"27,231,268 ",,"4,701,081 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,056",MB,PT,182,,$1.08 ,,0.20 ,,$96.55 ,,18.3 ,,$5.28 ,,$1.21 ,,,"$12,260,409 ",,"$59,997,347 ",,"11,371,784 ",,"621,386 ",,"49,749,447 ",,"7,294,248 ",,No,,,,,,
