Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,1,,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,427",HR,DO,"5,413",,$1.45 ,,0.33 ,,$276.89 ,,62.4 ,,$4.44 ,,$1.06 ,,,"$1,609,953,703 ",,"$4,936,965,252 ",,"1,112,653,405 ",,"17,829,918 ",,"4,676,670,633 ",,"324,782,077 ",,No,,,,Hide questionable data tags,,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,427",CB,DO,435,,$6.76 ,,0.14 ,,$400.39 ,,8.2 ,,$48.83 ,,$3.36 ,,,"$30,502,878 ",,"$220,242,754 ",,"4,510,813 ",,"550,076 ",,"65,570,465 ",,"8,690,192 ",,No,,,,Show questionable data tags,,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,427",MB,DO,"3,201",,$0.90 ,W,0.14 ,,$228.16 ,,35.3 ,W,$6.47 ,W,$2.94 ,W,,"$361,154,071 ",,"$2,607,674,237 ",,"403,160,315 ",W,"11,429,343 ",,"888,168,117 ",W,"80,118,986 ",,Yes,,2,,1,,2
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,427",RB,DO,156,,$0.85 ,W,0.14 ,,$219.08 ,,35.6 ,W,$6.16 ,W,$3.43 ,W,,"$15,048,086 ",,"$108,653,094 ",,"17,648,255 ",W,"495,948 ",,"31,702,817 ",W,"3,151,031 ",,Yes,,,,,,
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,427",DR,PT,"1,222",,$0.73 ,,0.00 ,,$170.64 ,,1.1 ,,$153.78 ,,$17.67 ,,,"$1,837,164 ",,"$384,800,386 ",,"2,502,323 ",,"2,255,009 ",,"21,780,544 ",,"24,052,883 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,646",CR,DO,904,,$6.43 ,,0.39 ,,$653.67 ,,40.0 ,,$16.34 ,,$0.74 ,,,"$426,541,303 ",,"$1,083,549,849 ",,"66,330,426 ",,"1,657,653 ",,"1,459,936,301 ",,"54,301,350 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,646",DR,PT,439,,$1.88 ,,0.03 ,,$114.37 ,,1.6 ,,$72.94 ,,$11.62 ,,,"$2,773,067 ",,"$107,664,210 ",,"1,475,977 ",,"941,336 ",,"9,264,182 ",,"14,741,231 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,646",LR,PT,42,,$0.95 ,,0.12 ,,$839.90 ,,104.7 ,,$8.02 ,,$2.14 ,,,"$11,379,749 ",,"$95,916,781 ",,"11,957,780 ",,"114,200 ",,"44,894,834 ",,"1,893,039 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,646",MB,DO,"1,880",,$2.60 ,,0.32 ,,$184.32 ,,22.6 ,,$8.17 ,,$1.09 ,,,"$289,052,489 ",,"$908,522,286 ",,"111,164,944 ",,"4,929,055 ",,"831,026,106 ",,"69,544,902 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,646",MB,PT,182,,$0.82 ,,0.10 ,,$114.90 ,,13.6 ,,$8.44 ,,$1.86 ,,,"$6,506,778 ",,"$66,733,976 ",,"7,909,259 ",,"580,777 ",,"35,822,144 ",,"7,055,377 ",,No,,,,,,
